score,text,casefolding_text,cleaning_text,slangword_text,tokenizing_text,stopword_text,final_text,label,text_length
2,aplikasi sering lemot. Untuk kirim pengaduan saja sering muncul masalah. Tak seperti di platform non pemerintah.,aplikasi sering lemot. untuk kirim pengaduan saja sering muncul masalah. tak seperti di platform non pemerintah.,aplikasi sering lemot untuk kirim pengaduan saja sering muncul masalah tak seperti di platform non pemerintah,aplikasi sering lambat untuk kirim pengaduan saja sering muncul masalah tak seperti di platform non pemerintah,"['aplikasi', 'sering', 'lambat', 'untuk', 'kirim', 'pengaduan', 'saja', 'sering', 'muncul', 'masalah', 'tak', 'seperti', 'di', 'platform', 'non', 'pemerintah']","['aplikasi', 'lambat', 'kirim', 'pengaduan', 'muncul', 'platform', 'non', 'pemerintah']",aplikasi lambat kirim pengaduan muncul platform non pemerintah,negatif,8
1,Gimana mau lapor gak kekirim2 bilangnya laporan duplikat terus perbaiki dong mint..,gimana mau lapor gak kekirim2 bilangnya laporan duplikat terus perbaiki dong mint..,gimana mau lapor gak kekirim bilangnya laporan duplikat terus perbaiki dong mint,gimana mau laporan tidak kekirim bilangnya laporan duplikat terus perbaiki dong mint,"['gimana', 'mau', 'laporan', 'tidak', 'kekirim', 'bilangnya', 'laporan', 'duplikat', 'terus', 'perbaiki', 'dong', 'mint']","['gimana', 'laporan', 'tidak', 'kekirim', 'bilangnya', 'laporan', 'duplikat', 'perbaiki', 'mint']",gimana laporan tidak kekirim bilangnya laporan duplikat perbaiki mint,negatif,9
1,Aplikasi yang memakan banyak anggaran tapi saya buat laporan dilihat pun tidak langsung diarsipkan. Bukan sebuah solusi!!!,aplikasi yang memakan banyak anggaran tapi saya buat laporan dilihat pun tidak langsung diarsipkan. bukan sebuah solusi!!!,aplikasi yang memakan banyak anggaran tapi saya buat laporan dilihat pun tidak langsung diarsipkan bukan sebuah solusi,aplikasi yang memakan banyak anggaran tapi saya buat laporan dilihat pun tidak langsung diarsipkan bukan sebuah solusi,"['aplikasi', 'yang', 'memakan', 'banyak', 'anggaran', 'tapi', 'saya', 'buat', 'laporan', 'dilihat', 'pun', 'tidak', 'langsung', 'diarsipkan', 'bukan', 'sebuah', 'solusi']","['aplikasi', 'memakan', 'anggaran', 'saya', 'laporan', 'tidak', 'langsung', 'diarsipkan', 'solusi']",aplikasi memakan anggaran saya laporan tidak langsung diarsipkan solusi,negatif,9
1,"Tolong diupdate aplikasinya, masak mau laporan muncul pesan duplikat padahal baru saja nulis.","tolong diupdate aplikasinya, masak mau laporan muncul pesan duplikat padahal baru saja nulis.",tolong diupdate aplikasinya masak mau laporan muncul pesan duplikat padahal baru saja nulis,tolong diupdate aplikasinya masak mau laporan muncul pesan duplikat padahal baru saja nulis,"['tolong', 'diupdate', 'aplikasinya', 'masak', 'mau', 'laporan', 'muncul', 'pesan', 'duplikat', 'padahal', 'baru', 'saja', 'nulis']","['tolong', 'diupdate', 'aplikasinya', 'masak', 'laporan', 'muncul', 'pesan', 'duplikat', 'baru', 'nulis']",tolong diupdate aplikasinya masak laporan muncul pesan duplikat baru nulis,negatif,10
1,"Dari web, dari aplikasi sama saja, kita dipaksa ubah password, tp.saat kita lupa password lama kita coba via lupa passwird, link yg dikirim via email gk bekerja, saat kita klik ubah, tidak ada perubahan apa apa","dari web, dari aplikasi sama saja, kita dipaksa ubah password, tp.saat kita lupa password lama kita coba via lupa passwird, link yg dikirim via email gk bekerja, saat kita klik ubah, tidak ada perubahan apa apa",dari web dari aplikasi sama saja kita dipaksa ubah password tpsaat kita lupa password lama kita coba via lupa passwird link yg dikirim via email gk bekerja saat kita klik ubah tidak ada perubahan apa apa,dari website dari aplikasi sama saja kita dipaksa ubah password tapi saat kita lupa password lama kita coba lewat lupa password link yang dikirim lewat email tidak bekerja saat kita klik ubah tidak ada perubahan apa apa,"['dari', 'website', 'dari', 'aplikasi', 'sama', 'saja', 'kita', 'dipaksa', 'ubah', 'password', 'tapi', 'saat', 'kita', 'lupa', 'password', 'lama', 'kita', 'coba', 'lewat', 'lupa', 'password', 'link', 'yang', 'dikirim', 'lewat', 'email', 'tidak', 'bekerja', 'saat', 'kita', 'klik', 'ubah', 'tidak', 'ada', 'perubahan', 'apa', 'apa']","['website', 'aplikasi', 'dipaksa', 'ubah', 'password', 'lupa', 'password', 'lama', 'coba', 'lupa', 'password', 'link', 'dikirim', 'email', 'tidak', 'klik', 'ubah', 'tidak', 'ada', 'perubahan']",website aplikasi dipaksa ubah password lupa password lama coba lupa password link dikirim email tidak klik ubah tidak ada perubahan,negatif,20
1,Sering internal server error ketika meminta informasi. Dan saya tidak tahu apakah ketika mengirim laporan harus selalu mencantumkan NIK dan nama?,sering internal server error ketika meminta informasi. dan saya tidak tahu apakah ketika mengirim laporan harus selalu mencantumkan nik dan nama?,sering internal server error ketika meminta informasi dan saya tidak tahu apakah ketika mengirim laporan harus selalu mencantumkan nik dan nama,sering internal server error ketika meminta informasi dan saya tidak tahu apakah ketika mengirim laporan harus selalu mencantumkan nik dan nama,"['sering', 'internal', 'server', 'error', 'ketika', 'meminta', 'informasi', 'dan', 'saya', 'tidak', 'tahu', 'apakah', 'ketika', 'mengirim', 'laporan', 'harus', 'selalu', 'mencantumkan', 'nik', 'dan', 'nama']","['internal', 'server', 'error', 'informasi', 'saya', 'tidak', 'mengirim', 'laporan', 'mencantumkan', 'nik', 'nama']",internal server error informasi saya tidak mengirim laporan mencantumkan nik nama,negatif,11
1,aplikasi apaan ini sekelas pemerintahan ko begini,aplikasi apaan ini sekelas pemerintahan ko begini,aplikasi apaan ini sekelas pemerintahan ko begini,aplikasi apaan ini sekelas pemerintahan ko begini,"['aplikasi', 'apaan', 'ini', 'sekelas', 'pemerintahan', 'ko', 'begini']","['aplikasi', 'sekelas', 'pemerintahan', 'ko']",aplikasi sekelas pemerintahan ko,negatif,4
1,Kok gak bisa login gimana sih,kok gak bisa login gimana sih,kok gak bisa login gimana sih,kok tidak bisa login gimana sih,"['kok', 'tidak', 'bisa', 'login', 'gimana', 'sih']","['tidak', 'bisa', 'login', 'gimana']",tidak bisa login gimana,negatif,4
1,"Gk bisa daftar,, pelayanan nya mengecewakan","gk bisa daftar,, pelayanan nya mengecewakan",gk bisa daftar pelayanan nya mengecewakan,tidak bisa daftar pelayanan nya mengecewakan,"['tidak', 'bisa', 'daftar', 'pelayanan', 'nya', 'mengecewakan']","['tidak', 'bisa', 'daftar', 'pelayanan', 'mengecewakan']",tidak bisa daftar pelayanan mengecewakan,negatif,5
1,"GK jelas, GK bisa di gunakan gk ada fungsinya","gk jelas, gk bisa di gunakan gk ada fungsinya",gk jelas gk bisa di gunakan gk ada fungsinya,tidak jelas tidak bisa di gunakan tidak ada fungsinya,"['tidak', 'jelas', 'tidak', 'bisa', 'di', 'gunakan', 'tidak', 'ada', 'fungsinya']","['tidak', 'jelas', 'tidak', 'bisa', 'tidak', 'ada', 'fungsinya']",tidak jelas tidak bisa tidak ada fungsinya,negatif,7
1,Mau lapor adanya penipuan. Ada layanan online lapor.go.id itu LEMOT ga bsa dibuka. Ini aplikasinya DAFTAR AJA GA BISA. Apanya yg pelayanan masyarakat,mau lapor adanya penipuan. ada layanan online lapor.go.id itu lemot ga bsa dibuka. ini aplikasinya daftar aja ga bisa. apanya yg pelayanan masyarakat,mau lapor adanya penipuan ada layanan online laporgoid itu lemot ga bsa dibuka ini aplikasinya daftar aja ga bisa apanya yg pelayanan masyarakat,mau laporan adanya penipuan ada layanan online laporgoid itu lambat tidak bisa dibuka ini aplikasinya daftar aja tidak bisa apanya yang pelayanan masyarakat,"['mau', 'laporan', 'adanya', 'penipuan', 'ada', 'layanan', 'online', 'laporgoid', 'itu', 'lambat', 'tidak', 'bisa', 'dibuka', 'ini', 'aplikasinya', 'daftar', 'aja', 'tidak', 'bisa', 'apanya', 'yang', 'pelayanan', 'masyarakat']","['laporan', 'penipuan', 'ada', 'layanan', 'online', 'laporgoid', 'lambat', 'tidak', 'bisa', 'dibuka', 'aplikasinya', 'daftar', 'aja', 'tidak', 'bisa', 'apanya', 'pelayanan', 'masyarakat']",laporan penipuan ada layanan online laporgoid lambat tidak bisa dibuka aplikasinya daftar aja tidak bisa apanya pelayanan masyarakat,negatif,18
1,Saya sungguh sangat kecewa menggunakan aplikasi ini. Mau daftar saja susah. Gimana kita mau lapor dengan pungutan-pungutan liar(pungli). Di pelabuhan Teluk Bungus. Padang sumatra Barat.,saya sungguh sangat kecewa menggunakan aplikasi ini. mau daftar saja susah. gimana kita mau lapor dengan pungutan-pungutan liar(pungli). di pelabuhan teluk bungus. padang sumatra barat.,saya sungguh sangat kecewa menggunakan aplikasi ini mau daftar saja susah gimana kita mau lapor dengan pungutanpungutan liarpungli di pelabuhan teluk bungus padang sumatra barat,saya sungguh sangat kecewa menggunakan aplikasi ini mau daftar saja susah gimana kita mau laporan dengan pungutanpungutan liarpungli di pelabuhan teluk bungus padang sumatra barat,"['saya', 'sungguh', 'sangat', 'kecewa', 'menggunakan', 'aplikasi', 'ini', 'mau', 'daftar', 'saja', 'susah', 'gimana', 'kita', 'mau', 'laporan', 'dengan', 'pungutanpungutan', 'liarpungli', 'di', 'pelabuhan', 'teluk', 'bungus', 'padang', 'sumatra', 'barat']","['saya', 'sungguh', 'kecewa', 'aplikasi', 'daftar', 'susah', 'gimana', 'laporan', 'pungutanpungutan', 'liarpungli', 'pelabuhan', 'teluk', 'bungus', 'padang', 'sumatra', 'barat']",saya sungguh kecewa aplikasi daftar susah gimana laporan pungutanpungutan liarpungli pelabuhan teluk bungus padang sumatra barat,negatif,16
1,Aplikasi yg di buat untuk nilep uang rakyat tidak berguna. Di gunakan tdk bisa umtung kalau laporan nya masuk ke pihak terkait.,aplikasi yg di buat untuk nilep uang rakyat tidak berguna. di gunakan tdk bisa umtung kalau laporan nya masuk ke pihak terkait.,aplikasi yg di buat untuk nilep uang rakyat tidak berguna di gunakan tdk bisa umtung kalau laporan nya masuk ke pihak terkait,aplikasi yang di buat untuk nilep uang rakyat tidak berguna di gunakan tidak bisa umtung kalau laporan nya masuk ke pihak terkait,"['aplikasi', 'yang', 'di', 'buat', 'untuk', 'nilep', 'uang', 'rakyat', 'tidak', 'berguna', 'di', 'gunakan', 'tidak', 'bisa', 'umtung', 'kalau', 'laporan', 'nya', 'masuk', 'ke', 'pihak', 'terkait']","['aplikasi', 'nilep', 'uang', 'rakyat', 'tidak', 'berguna', 'tidak', 'bisa', 'umtung', 'laporan', 'masuk', 'terkait']",aplikasi nilep uang rakyat tidak berguna tidak bisa umtung laporan masuk terkait,negatif,12
1,"Aplikasi bus*k, ga bs dibuka, server eror mulu, ga niat bikin aplikasi","aplikasi bus*k, ga bs dibuka, server eror mulu, ga niat bikin aplikasi",aplikasi busk ga bs dibuka server eror mulu ga niat bikin aplikasi,aplikasi busk tidak bs dibuka server error mulu tidak niat bikin aplikasi,"['aplikasi', 'busk', 'tidak', 'bs', 'dibuka', 'server', 'error', 'mulu', 'tidak', 'niat', 'bikin', 'aplikasi']","['aplikasi', 'busk', 'tidak', 'bs', 'dibuka', 'server', 'error', 'mulu', 'tidak', 'niat', 'bikin', 'aplikasi']",aplikasi busk tidak bs dibuka server error mulu tidak niat bikin aplikasi,negatif,12
5,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,positif,1
1,aplikasi 🥶😱,aplikasi 🥶😱,aplikasi,aplikasi,['aplikasi'],['aplikasi'],aplikasi,negatif,1
1,"mau dimana lagi mengadu mengenai pelayanan masyarakat, aplikasi nya aja gak bisa digunakan","mau dimana lagi mengadu mengenai pelayanan masyarakat, aplikasi nya aja gak bisa digunakan",mau dimana lagi mengadu mengenai pelayanan masyarakat aplikasi nya aja gak bisa digunakan,mau dimana lagi mengadu mengenai pelayanan masyarakat aplikasi nya aja tidak bisa digunakan,"['mau', 'dimana', 'lagi', 'mengadu', 'mengenai', 'pelayanan', 'masyarakat', 'aplikasi', 'nya', 'aja', 'tidak', 'bisa', 'digunakan']","['dimana', 'mengadu', 'pelayanan', 'masyarakat', 'aplikasi', 'aja', 'tidak', 'bisa']",dimana mengadu pelayanan masyarakat aplikasi aja tidak bisa,negatif,8
2,Sepertinya oknum yang berupaya agar server SP4N LAPOR! baik aplikasi maupun website down. Agar aspirasi dan pengaduan masyarakat tidak tersampaikan ke instansi terkait.,sepertinya oknum yang berupaya agar server sp4n lapor! baik aplikasi maupun website down. agar aspirasi dan pengaduan masyarakat tidak tersampaikan ke instansi terkait.,sepertinya oknum yang berupaya agar server spn lapor baik aplikasi maupun website down agar aspirasi dan pengaduan masyarakat tidak tersampaikan ke instansi terkait,sepertinya oknum yang berupaya agar server spn laporan baik aplikasi maupun website down agar aspirasi dan pengaduan masyarakat tidak tersampaikan ke instansi terkait,"['sepertinya', 'oknum', 'yang', 'berupaya', 'agar', 'server', 'spn', 'laporan', 'baik', 'aplikasi', 'maupun', 'website', 'down', 'agar', 'aspirasi', 'dan', 'pengaduan', 'masyarakat', 'tidak', 'tersampaikan', 'ke', 'instansi', 'terkait']","['oknum', 'berupaya', 'server', 'spn', 'laporan', 'baik', 'aplikasi', 'website', 'aspirasi', 'pengaduan', 'masyarakat', 'tidak', 'instansi', 'terkait']",oknum berupaya server spn laporan baik aplikasi website aspirasi pengaduan masyarakat tidak instansi terkait,negatif,14
2,Jaringan bagus tapi katanya server error.. Rating dah jelek banget g ditanggapin apa sama pemerintah,jaringan bagus tapi katanya server error.. rating dah jelek banget g ditanggapin apa sama pemerintah,jaringan bagus tapi katanya server error rating dah jelek banget g ditanggapin apa sama pemerintah,jaringan bagus tapi katanya server error rating dah jelek banget tidak ditanggapin apa sama pemerintah,"['jaringan', 'bagus', 'tapi', 'katanya', 'server', 'error', 'rating', 'dah', 'jelek', 'banget', 'tidak', 'ditanggapin', 'apa', 'sama', 'pemerintah']","['jaringan', 'bagus', 'server', 'error', 'rating', 'dah', 'jelek', 'banget', 'tidak', 'ditanggapin', 'pemerintah']",jaringan bagus server error rating dah jelek banget tidak ditanggapin pemerintah,negatif,11
1,"Aplikasi ga berfungsi dengan baik, daftar ga bisa erorr terus harus nya pemerintah perbaiki","aplikasi ga berfungsi dengan baik, daftar ga bisa erorr terus harus nya pemerintah perbaiki",aplikasi ga berfungsi dengan baik daftar ga bisa erorr terus harus nya pemerintah perbaiki,aplikasi tidak berfungsi dengan baik daftar tidak bisa erorr terus harus nya pemerintah perbaiki,"['aplikasi', 'tidak', 'berfungsi', 'dengan', 'baik', 'daftar', 'tidak', 'bisa', 'erorr', 'terus', 'harus', 'nya', 'pemerintah', 'perbaiki']","['aplikasi', 'tidak', 'berfungsi', 'baik', 'daftar', 'tidak', 'bisa', 'erorr', 'pemerintah', 'perbaiki']",aplikasi tidak berfungsi baik daftar tidak bisa erorr pemerintah perbaiki,negatif,10
5,Mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap,positif,1
1,Ini app di update bisa ga sih biar tampilan nya beda jangan sama mulu,ini app di update bisa ga sih biar tampilan nya beda jangan sama mulu,ini app di update bisa ga sih biar tampilan nya beda jangan sama mulu,ini aplikasi di update bisa tidak sih biar tampilan nya beda jangan sama mulu,"['ini', 'aplikasi', 'di', 'update', 'bisa', 'tidak', 'sih', 'biar', 'tampilan', 'nya', 'beda', 'jangan', 'sama', 'mulu']","['aplikasi', 'update', 'bisa', 'tidak', 'biar', 'tampilan', 'beda', 'mulu']",aplikasi update bisa tidak biar tampilan beda mulu,negatif,8
3,Akun saya dipake orang..padahal saya tidak pernah berada di pekalongan,akun saya dipake orang..padahal saya tidak pernah berada di pekalongan,akun saya dipake orangpadahal saya tidak pernah berada di pekalongan,akun saya dipake orangpadahal saya tidak pernah berada di pekalongan,"['akun', 'saya', 'dipake', 'orangpadahal', 'saya', 'tidak', 'pernah', 'berada', 'di', 'pekalongan']","['akun', 'saya', 'dipake', 'orangpadahal', 'saya', 'tidak', 'pekalongan']",akun saya dipake orangpadahal saya tidak pekalongan,netral,7
5,Baik,baik,baik,baik,['baik'],['baik'],baik,positif,1
1,Spam,spam,spam,spam,['spam'],['spam'],spam,negatif,1
1,Laporan error trs,laporan error trs,laporan error trs,laporan error terus,"['laporan', 'error', 'terus']","['laporan', 'error']",laporan error,negatif,2
1,Perbaiki lagi lah..masa milik penerintahan model gini.,perbaiki lagi lah..masa milik penerintahan model gini.,perbaiki lagi lahmasa milik penerintahan model gini,perbaiki lagi lahmasa milik penerintahan model gini,"['perbaiki', 'lagi', 'lahmasa', 'milik', 'penerintahan', 'model', 'gini']","['perbaiki', 'lahmasa', 'milik', 'penerintahan', 'model', 'gini']",perbaiki lahmasa milik penerintahan model gini,negatif,6
1,Sangat kecewa...,sangat kecewa...,sangat kecewa,sangat kecewa,"['sangat', 'kecewa']",['kecewa'],kecewa,negatif,1
1,"Aplikasi gk guna, 1 thn lalu laporan terkait prilaku mencurigakan terduga teroris, sdh disertakan bukti dan saksi tp tdk ada tanggapan sama sekali, dianggap angin. Hari ini ada kbr di media online Densus 88 di kota sy menangkap remaja terduga teroris yg brniat melakukan bom bunuh diri.","aplikasi gk guna, 1 thn lalu laporan terkait prilaku mencurigakan terduga teroris, sdh disertakan bukti dan saksi tp tdk ada tanggapan sama sekali, dianggap angin. hari ini ada kbr di media online densus 88 di kota sy menangkap remaja terduga teroris yg brniat melakukan bom bunuh diri.",aplikasi gk guna thn lalu laporan terkait prilaku mencurigakan terduga teroris sdh disertakan bukti dan saksi tp tdk ada tanggapan sama sekali dianggap angin hari ini ada kbr di media online densus di kota sy menangkap remaja terduga teroris yg brniat melakukan bom bunuh diri,aplikasi tidak guna thn lalu laporan terkait prilaku mencurigakan terduga teroris sudah disertakan bukti dan saksi tp tidak ada tanggapan sama sekali dianggap angin hari ini ada kbr di media online densus di kota sy menangkap remaja terduga teroris yang brniat melakukan bom bunuh diri,"['aplikasi', 'tidak', 'guna', 'thn', 'lalu', 'laporan', 'terkait', 'prilaku', 'mencurigakan', 'terduga', 'teroris', 'sudah', 'disertakan', 'bukti', 'dan', 'saksi', 'tp', 'tidak', 'ada', 'tanggapan', 'sama', 'sekali', 'dianggap', 'angin', 'hari', 'ini', 'ada', 'kbr', 'di', 'media', 'online', 'densus', 'di', 'kota', 'sy', 'menangkap', 'remaja', 'terduga', 'teroris', 'yang', 'brniat', 'melakukan', 'bom', 'bunuh', 'diri']","['aplikasi', 'tidak', 'thn', 'laporan', 'terkait', 'prilaku', 'mencurigakan', 'terduga', 'teroris', 'disertakan', 'bukti', 'saksi', 'tp', 'tidak', 'ada', 'tanggapan', 'dianggap', 'angin', 'ada', 'kbr', 'media', 'online', 'densus', 'kota', 'sy', 'menangkap', 'remaja', 'terduga', 'teroris', 'brniat', 'bom', 'bunuh']",aplikasi tidak thn laporan terkait prilaku mencurigakan terduga teroris disertakan bukti saksi tp tidak ada tanggapan dianggap angin ada kbr media online densus kota sy menangkap remaja terduga teroris brniat bom bunuh,negatif,32
1,Gimana cara membuat laporan mengenai bantuan sosial yang tidak sampai KPM,gimana cara membuat laporan mengenai bantuan sosial yang tidak sampai kpm,gimana cara membuat laporan mengenai bantuan sosial yang tidak sampai kpm,gimana cara membuat laporan mengenai bantuan sosial yang tidak sampai kpm,"['gimana', 'cara', 'membuat', 'laporan', 'mengenai', 'bantuan', 'sosial', 'yang', 'tidak', 'sampai', 'kpm']","['gimana', 'laporan', 'bantuan', 'sosial', 'tidak', 'kpm']",gimana laporan bantuan sosial tidak kpm,negatif,6
5,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,positif,1
2,aplikasi sering eror,aplikasi sering eror,aplikasi sering eror,aplikasi sering error,"['aplikasi', 'sering', 'error']","['aplikasi', 'error']",aplikasi error,negatif,2
1,Internal server eror selalu bagaimana ini,internal server eror selalu bagaimana ini,internal server eror selalu bagaimana ini,internal server error selalu bagaimana ini,"['internal', 'server', 'error', 'selalu', 'bagaimana', 'ini']","['internal', 'server', 'error']",internal server error,negatif,3
1,"Tidak layak di pakai... Aplikasi pemerintah,tapi publik tidak bisa gunakan... Apa manfaat nya.......","tidak layak di pakai... aplikasi pemerintah,tapi publik tidak bisa gunakan... apa manfaat nya.......",tidak layak di pakai aplikasi pemerintahtapi publik tidak bisa gunakan apa manfaat nya,tidak layak di pakai aplikasi pemerintahtapi publik tidak bisa gunakan apa manfaat nya,"['tidak', 'layak', 'di', 'pakai', 'aplikasi', 'pemerintahtapi', 'publik', 'tidak', 'bisa', 'gunakan', 'apa', 'manfaat', 'nya']","['tidak', 'layak', 'pakai', 'aplikasi', 'pemerintahtapi', 'publik', 'tidak', 'bisa', 'manfaat']",tidak layak pakai aplikasi pemerintahtapi publik tidak bisa manfaat,negatif,9
1,Dasar kalian ini Pemerintah macam apa? Bikin Aplikasi aja gak becus. Pajak minta gede.,dasar kalian ini pemerintah macam apa? bikin aplikasi aja gak becus. pajak minta gede.,dasar kalian ini pemerintah macam apa bikin aplikasi aja gak becus pajak minta gede,dasar kalian ini pemerintah macam apa bikin aplikasi aja tidak becus pajak minta besar,"['dasar', 'kalian', 'ini', 'pemerintah', 'macam', 'apa', 'bikin', 'aplikasi', 'aja', 'tidak', 'becus', 'pajak', 'minta', 'besar']","['dasar', 'kalian', 'pemerintah', 'bikin', 'aplikasi', 'aja', 'tidak', 'becus', 'pajak']",dasar kalian pemerintah bikin aplikasi aja tidak becus pajak,negatif,9
5,Respon dan tindak lanjut nya cepat,respon dan tindak lanjut nya cepat,respon dan tindak lanjut nya cepat,respon dan tindak lanjut nya cepat,"['respon', 'dan', 'tindak', 'lanjut', 'nya', 'cepat']","['respon', 'tindak', 'cepat']",respon tindak cepat,positif,3
